"Name","bedding","date of birth","date of death","diet","diet start date","sex","source pen ID","strain","treatment","Unique Mouse ID","genotype","Climb ID"
"JMUS2557","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-490-18","NZO/HlLtJ","None","JMUS2557e64707d4345d4176ba1102861e9f8b50","WT",""
"JMUS2561","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-488-18","NZO/HlLtJ","None","JMUS2561bec449e152db991ddaeea89000833aa5","WT",""
"JMUS2562","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-488-18","NZO/HlLtJ","None","JMUS256253cb01b75db3250ef15fb643053f2000","WT",""
"JMUS2563","alpha-dri","11/27/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-488-18","NZO/HlLtJ","None","JMUS2563ac076dd8340fb6f3e160ce8f560827a7","WT",""
"JMUS2564","aspen","11/28/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-492-18","CAST/EiJ","None","JMUS25641e1316a294a7156e848207fc5a52ba97","WT",""
"JMUS2565","aspen","11/28/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-492-18","CAST/EiJ","None","JMUS256503f67212f7c2e1678d384c86b37b5f2d","WT",""
"JMUS2566","aspen","11/28/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-492-18","CAST/EiJ","None","JMUS2566946c9755c4c233b12af824f9a821c9e2","WT",""
"JMUS2567","aspen","11/26/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-495-18","CAST/EiJ","None","JMUS2567b25c4b617c56c06ee32130bff93e04dd","WT",""
"JMUS2568","aspen","2019-11-26","2020-02-12","10% fat + fiber","2020-01-09","male","H-495-18","CAST/EiJ","None","JMUSb0a8b58d02a5d9ccc8ee6298fdcb7e33","WT","1717"
"JMUS2569","aspen","2019-11-26","2020-02-17","10% fat + fiber","2020-01-09","male","H-495-18","CAST/EiJ","None","JMUSa779e39ba741638f0241311a160e2bb9","WT","1718"
"JMUS2570","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-481-18","C57BL/6J","None","JMUS257086cd827fc68b7f0b3a7569e5e45b6603","WT",""
"JMUS2571","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-481-18","C57BL/6J","None","JMUS25712fe68c22022f4df188b0625bac15aa92","WT",""
"JMUS2572","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","female","H-481-18","C57BL/6J","None","JMUS2572944d091c1311a6344ae8cd89998aaf8e","WT",""
"JMUS2573","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-482-18","C57BL/6J","None","JMUS2573f56034deea7fff1e7e30237c1e6bba07","WT",""
"JMUS2574","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-482-18","C57BL/6J","None","JMUS2574264d65acf239c27906e8156d529f42a8","WT",""
"JMUS2575","aspen","11/25/2019","1/9/2020","10% fat + fiber","3/24/2020","male","H-482-18","C57BL/6J","None","JMUS2575e7a0dfd871385e81006cab90e5d60634","WT",""
"JMUS2579","alpha-dri","12/2/2019","1/16/2020","10% fat + fiber","3/24/2020","male","H-567-18","NZO/HlLtJ","None","JMUS25790b00c6c7a15cc729cb46422310b79a88","WT",""
"JMUS2580","alpha-dri","12/2/2019","1/16/2020","10% fat + fiber","3/24/2020","male","H-567-18","NZO/HlLtJ","None","JMUS2580182cdb2701f07a3129566e338ffb2f70","WT",""
"JMUS2581","alpha-dri","12/2/2019","1/16/2020","10% fat + fiber","3/24/2020","male","H-567-18","NZO/HlLtJ","None","JMUS258199fa040eaef5f2c570e3f6da87047d85","WT",""
"JMUS2585","alpha-dri","11/30/2019","1/16/2020","10% fat + fiber","3/24/2020","female","H-569-18","NZO/HlLtJ","None","JMUS25853118540eb4a2a1746b779a1134e2e9d3","WT",""
"JMUS2586","alpha-dri","11/30/2019","1/16/2020","10% fat + fiber","3/24/2020","female","H-569-18","NZO/HlLtJ","None","JMUS25863629a98f5d92086807cddcc5f1b73ae5","WT",""
"JMUS2587","alpha-dri","11/30/2019","1/16/2020","10% fat + fiber","3/24/2020","female","H-569-18","NZO/HlLtJ","None","JMUS2587848f8374fbc43b897d0936fcdc5add40","WT",""
"JMUS2600","aspen","2019-12-08","2020-03-24","10% fat + fiber","2020-01-23","female","H-636-18","C57BL/6J","None","JMUS852ea6c5a53d9fddc43c60b0ec8035f0","WT","1998"
"JMUS2601","aspen","12/8/2019","1/23/2020","10% fat + fiber","3/24/2020","female","H-636-18","C57BL/6J","None","JMUS2601e33130c7bcc63c451475f3744731b157","WT",""
"JMUS2602","aspen","12/8/2019","1/23/2020","10% fat + fiber","3/24/2020","female","H-636-18","C57BL/6J","None","JMUS260226c803a91e0275b3c1e11c861d51efe1","WT",""
"JMUS2608","aspen","12/8/2019","1/23/2020","10% fat + fiber","3/24/2020","male","H-639-18","C57BL/6J","None","JMUS2608feedf72c80cc46194aeee5dbc14ed4d0","WT",""
"JMUS2609","aspen","12/8/2019","1/23/2020","10% fat + fiber","3/24/2020","male","H-639-18","C57BL/6J","None","JMUS2609f592aaf9d140b225d429063b13858114","WT",""
"JMUS2610","aspen","12/8/2019","1/23/2020","10% fat + fiber","3/24/2020","male","H-639-18","C57BL/6J","None","JMUS261041b6f6507d8e124a0702a18a7b15c032","WT",""
"JMUS2611","aspen","12/9/2019","1/23/2020","10% fat + fiber","6/4/2020","male","H-869-18","CAST/EiJ","None","JMUS2611fe3c161d9ff5904f24594c34b942c755","WT",""
"JMUS2612","aspen","12/9/2019","1/23/2020","10% fat + fiber","6/4/2020","male","H-869-18","CAST/EiJ","None","JMUS2612c36c42aee90d1adcd59926cb6ca50124","WT",""
"JMUS2613","aspen","12/9/2019","1/23/2020","10% fat + fiber","6/4/2020","male","H-869-18","CAST/EiJ","None","JMUS2613a6776ac67fa6efeb1141fbc000a3c5d1","WT",""
"JMUS2617","aspen","12/12/2019","1/23/2020","10% fat + fiber","6/4/2020","female","","CAST/EiJ","None","JMUS2617d77a1705f6a6fe4812bcc973e677f65f","WT",""
"JMUS2618","aspen","12/12/2019","1/23/2020","10% fat + fiber","6/4/2020","female","","CAST/EiJ","None","JMUS2618f4174bfa0facaeae1f09c094824be150","WT",""
"JMUS2619","aspen","12/12/2019","1/23/2020","10% fat + fiber","6/4/2020","female","","CAST/EiJ","None","JMUS2619b6114962d9bf7137249984503cbf97fd","WT",""
"JMUS2624","alpha-dri","2019-11-27","2020-03-09","10% fat + fiber","2020-01-09","female","H-483-18","NZO/HlLtJ","None","JMUSeefa8abfbba83b0eda5b2a33b49156f2","WT","1685"
"JMUS2625","alpha-dri","2019-11-27","2020-03-09","10% fat + fiber","2020-01-09","female","H-483-18","NZO/HlLtJ","None","JMUS5260ba9c32419b5d8a1955997f46e0f8","WT","1686"
"JMUS2626","alpha-dri","2019-11-27","2020-03-09","10% fat + fiber","2020-01-09","male","H-485-18","NZO/HlLtJ","None","JMUS365ef4c84ce3b4114af2a9d795768ae0","WT","1690"
"JMUS2627","alpha-dri","2019-11-27","2020-03-09","10% fat + fiber","2020-01-09","male","H-485-18","NZO/HlLtJ","None","JMUS03b436bbf64d3b2277a2f506ffe06d92","WT","1691"
"JMUS2628","alpha-dri","2019-11-27","2020-03-09","10% fat + fiber","2020-01-09","male","H-485-18","NZO/HlLtJ","None","JMUSea7411554f683b33e3b0a00f800661cc","WT","1692"
"JMUS2629","alpha-dri","2019-11-23","2020-03-10","44% fat + fiber","2020-01-09","female","H-491-18","NZO/HlLtJ","None","JMUSd3a938b9bed93764c23596e61e01b249","WT","1705"
"JMUS2630","alpha-dri","2019-11-23","2020-03-10","44% fat + fiber","2020-01-09","female","H-491-18","NZO/HlLtJ","None","JMUS160c82119aa2d8099ce4810e13ae5534","WT","1706"
"JMUS2631","alpha-dri","2019-11-23","2020-03-10","44% fat + fiber","2020-01-09","female","H-491-18","NZO/HlLtJ","None","JMUS67d1b6e19c9fdaf6eded42054894a278","WT","1707"
"JMUS2632","alpha-dri","2019-11-23","2020-03-10","44% fat + fiber","2020-01-09","female","H-491-18","NZO/HlLtJ","None","JMUSe1c48f9f56dc93cd495425b9d88edfbd","WT","1708"
"JMUS2633","aspen","2019-11-23","2020-03-09","10% fat + fiber","2020-01-09","female","H-496-18","C57BL/6J","None","JMUSec3d610a457e02ed6e0e275d2c91b53f","WT","1719"
"JMUS2634","aspen","2019-11-23","2020-03-09","10% fat + fiber","2020-01-09","female","H-496-18","C57BL/6J","None","JMUS254f62cd208db095a1bdeeeff227a274","WT","1720"
"JMUS2635","aspen","2019-11-23","2020-03-10","10% fat + fiber","2020-01-09","female","H-496-18","C57BL/6J","None","JMUS6af935f0a41e1075cd17d64e72b71215","WT","1721"
"JMUS2636","aspen","2019-11-23","2020-04-25","10% fat + fiber","2020-01-09","female","H-496-18","C57BL/6J","None","JMUS1dbd941a2adf87c5babc82d42ef8bf6d","WT","1722"
"JMUS2637","aspen","2019-11-23","2020-03-10","10% fat + fiber","2020-01-09","male","H-497-18","C57BL/6J","None","JMUS79fad67af7105987ec83cd7cf0397925","WT","1723"
"JMUS2638","aspen","2019-11-23","2020-04-25","10% fat + fiber","2020-01-09","male","H-497-18","C57BL/6J","None","JMUS0b47b38990417507aa0a3673e0239db1","WT","1724"
"JMUS2639","aspen","2019-11-23","2020-04-25","10% fat + fiber","2020-01-09","male","H-497-18","C57BL/6J","None","JMUSc3488da57eb69ba5e2a7891fcb7dd1a2","WT","1725"
"JMUS2640","aspen","2019-11-23","2020-04-25","10% fat + fiber","2020-01-09","male","H-497-18","C57BL/6J","None","JMUS7f4162f5cab0d22ee564201d1237db79","WT","1726"
"JMUS2641","aspen","2019-11-29","2020-03-09","10% fat + fiber","2020-01-09","male","H-494-18","CAST/EiJ","None","JMUS2512fafb6ac01f71cb66e54357113b13","WT","1714"
"JMUS2642","aspen","2019-11-29","2020-03-09","10% fat + fiber","2020-01-09","male","H-494-18","CAST/EiJ","None","JMUSef941d68982fecd6af42c04ea5164174","WT","1715"
"JMUS2643","aspen","2019-11-28","2020-03-10","10% fat + fiber","2020-01-09","male","H-493-18","CAST/EiJ","None","JMUS225b01bd735b03e55e4b5b1436457fca","WT","1712"
"JMUS2644","aspen","2019-11-28","2020-03-10","10% fat + fiber","2020-01-09","male","H-493-18","CAST/EiJ","None","JMUS72b9b439aa926c859cf019669352e221","WT","1713"
"JMUS2645","alpha-dri","2019-11-30","2020-03-16","10% fat + fiber","2020-01-09","male","H-570-18","NZO/HlLtJ","None","JMUSccce7139d086e160d8c34409be20209d","WT","1781"
"JMUS2646","alpha-dri","2019-11-30","2020-03-16","10% fat + fiber","2020-01-09","male","H-570-18","NZO/HlLtJ","None","JMUS982fb283c9644317fd99bb03ad820917","WT","1782"
"JMUS2647","alpha-dri","2019-12-01","2020-03-16","44% fat + fiber","2020-01-17","female","H-571-18","NZO/HlLtJ","None","JMUS8d5c0e24f1208b58dd912938f0fe2b1d","WT","1783"
"JMUS2648","alpha-dri","2019-12-01","2020-03-16","44% fat + fiber","2020-01-17","female","H-571-18","NZO/HlLtJ","None","JMUS2fe38768cbd0cfc837faa8b51daa6c2c","WT","1784"
"JMUS2649","alpha-dri","2019-12-01","2020-03-17","10% fat + fiber","2020-01-17","female","H-571-18","NZO/HlLtJ","None","JMUS036e97d539c47f460ded24c1524496c2","WT","1785"
"JMUS2650","alpha-dri","2019-12-01","2020-03-17","10% fat + fiber","2020-01-17","female","H-571-18","NZO/HlLtJ","None","JMUS0f4c8d31841ae5aaaf50d2df87179bc0","WT","1786"
"JMUS2651","alpha-dri","2019-12-02","2020-03-16","10% fat + fiber","2020-01-17","female","H-574-18","NZO/HlLtJ","None","JMUSc115b288b0468530dfb7fff88a6b847d","WT","1791"
"JMUS2652","alpha-dri","2019-12-02","2020-03-16","10% fat + fiber","2020-01-17","female","H-574-18","NZO/HlLtJ","None","JMUSb2bfd8b3659648de6d0e6d7798337266","WT","1792"
"JMUS2653","alpha-dri","2019-12-02","2020-03-16","10% fat + fiber","2020-01-17","female","H-574-18","NZO/HlLtJ","None","JMUSef7ace7a13c372bc752278a930d6d359","WT","1793"
"JMUS2654","alpha-dri","2019-12-02","2020-03-16","10% fat + fiber","2020-01-17","female","H-574-18","NZO/HlLtJ","None","JMUS7e9b04c64e3525fc0875cef2e763f877","WT","1794"
"JMUS2655","alpha-dri","2019-12-02","2020-03-17","44% fat + fiber","2020-01-17","male","H-575-18","NZO/HlLtJ","None","JMUS2def26834821f38f7badab54cf0febad","WT","1795"
"JMUS2656","alpha-dri","2019-12-02","2020-03-17","44% fat + fiber","2020-01-17","male","H-575-18","NZO/HlLtJ","None","JMUSe6d1e8002cf7d61f8dbf3bfc97792211","WT","1796"
"JMUS2657","alpha-dri","2019-12-02","2020-06-05","44% fat + fiber","2020-01-17","male","H-575-18","NZO/HlLtJ","None","JMUS5061dc5a8a4346819a495ac4152a6387","WT","1797"
"JMUS2658","aspen","2019-11-30","2020-03-16","10% fat + fiber","2020-01-17","male","H-674-18","C57BL/6J","None","JMUSbe0844be3db8c158ea64dfe4541280fe","WT","1838"
"JMUS2659","aspen","2019-11-30","2020-04-25","10% fat + fiber","2020-01-17","male","H-674-18","C57BL/6J","None","JMUS86c34071bc552449820518eb93410f95","WT","1839"
"JMUS2660","aspen","2019-11-30","2020-03-17","44% fat + fiber","2020-01-17","male","H-674-18","C57BL/6J","None","JMUS79bee6ba3ce71aeb1366083e199c50ea","WT","1840"
"JMUS2661","aspen","2019-11-30","2020-03-17","44% fat + fiber","2020-01-17","male","H-674-18","C57BL/6J","None","JMUS64e80cde79ef7221e322ac548e6d9f1a","WT","1841"
"JMUS2662","aspen","2019-11-30","2020-03-16","44% fat + fiber","2020-01-17","male","H-674-18","C57BL/6J","None","JMUS9bd806c5886082849de6f58f9adfdeeb","WT","1842"
"JMUS2663","aspen","2019-11-30","2020-03-12","44% fat + fiber","2020-01-17","female","H-675-18","C57BL/6J","None","JMUS6738c5efe274f682a8413191501a413d","WT","1843"
"JMUS2664","aspen","2019-11-30","2020-03-16","44% fat + fiber","2020-01-17","female","H-675-18","C57BL/6J","None","JMUSe7d046eeed6249c364b04d08891493af","WT","1844"
"JMUS2665","aspen","2019-11-30","2020-06-05","44% fat + fiber","2020-01-17","female","H-675-18","C57BL/6J","None","JMUS35bcef1756a6505d39d6a661d866e46a","WT","1845"
"JMUS2666","aspen","2019-11-30","2020-06-05","44% fat + fiber","2020-01-17","female","H-675-18","C57BL/6J","None","JMUS82dc899f39087b33c96008d93662c99e","WT","1846"
"JMUS2667","aspen","2019-11-30","2020-06-05","44% fat + fiber","2020-01-17","female","H-675-18","C57BL/6J","None","JMUSce6468c5277294100b74c1e999847391","WT","1847"
"JMUS2668","aspen","2019-12-04","2020-03-13","10% fat + fiber","2020-01-17","female","H-646-18","CAST/EiJ","None","JMUS91458b4e3e1458a0e2fe67fe1f005788","WT","2031"
"JMUS2669","aspen","2019-12-04","2020-02-17","10% fat + fiber","2020-01-17","female","H-646-18","CAST/EiJ","None","JMUSfb927c0d5774225281d6fa1d2ec7ea7b","WT","2032"
"JMUS2670","aspen","2019-12-04","2020-03-16","10% fat + fiber","2020-01-17","female","H-646-18","CAST/EiJ","None","JMUS1ee1c83d4d25ca95bbb57d15ee829568","WT","2033"
"JMUS2671","aspen","2019-12-04","2020-03-17","44% fat + fiber","2020-01-17","male","H-647-18","CAST/EiJ","None","JMUS5f1e77609e539ad8ad64c2e9281b05c1","WT","2034"
"JMUS2672","aspen","2019-12-04","2020-03-17","44% fat + fiber","2020-01-17","male","H-647-18","CAST/EiJ","None","JMUSa41c3a2e5ae0006ec8a927583d22eb02","WT","2035"
"JMUS2673","aspen","2019-12-04","2020-03-16","44% fat + fiber","2020-01-17","male","H-647-18","CAST/EiJ","None","JMUS0984df9200c92ee2f08eeea62e0c21aa","WT","2036"
"JMUS2674","alpha-dri","2019-12-02","2020-04-25","44% fat + fiber","2020-01-23","female","H-650-18","NZO/HlLtJ","None","JMUS4f5e387d7f59b796f2f594d55604b248","WT","2043"
"JMUS2675","alpha-dri","2019-12-02","2020-04-25","44% fat + fiber","2020-01-23","female","H-650-18","NZO/HlLtJ","None","JMUS43997e78de3af09f2ab6fd17207f0aee","WT","2044"
"JMUS2676","alpha-dri","2019-12-02","2020-04-25","44% fat + fiber","2020-01-23","female","H-650-18","NZO/HlLtJ","None","JMUS12482987e73c8d3d5c1d801502942404","WT","2045"
"JMUS2677","alpha-dri","2019-12-02","2020-04-25","44% fat + fiber","2020-01-23","female","H-650-18","NZO/HlLtJ","None","JMUSa174da8d03bf741afad32210935b5121","WT","2046"
"JMUS2678","alpha-dri","2019-12-02","2020-03-24","44% fat + fiber","2020-01-23","male","H-651-18","NZO/HlLtJ","None","JMUS53f614a68114d3e0b00d69e84babfd0d","WT","2047"
"JMUS2679","alpha-dri","2019-12-02","2020-03-24","44% fat + fiber","2020-01-23","male","H-651-18","NZO/HlLtJ","None","JMUS67d98819578c5efef2902a7efa91e44c","WT","2048"
"JMUS2680","alpha-dri","2019-12-02","2020-03-24","44% fat + fiber","2020-01-23","male","H-651-18","NZO/HlLtJ","None","JMUSdb7f00e5e2c3db72c1bbb91819070ba6","WT","2049"
"JMUS2681","alpha-dri","2019-12-02","2020-03-24","44% fat + fiber","2020-01-23","male","H-651-18","NZO/HlLtJ","None","JMUS618d529d2f18277022b1ec9dcbb51983","WT","2050"
"JMUS2682","aspen","2019-12-10","2020-03-26","44% fat + fiber","2020-01-23","female","H-640-18","C57BL/6J","None","JMUSfac724fc03bfdbd87a1782596a587f72","WT","2009"
"JMUS2683","aspen","2019-12-10","2020-04-25","44% fat + fiber","2020-01-23","female","H-640-18","C57BL/6J","None","JMUS0d62cdbafcab6aba0d1c348739b4c611","WT","2010"
"JMUS2684","aspen","2019-12-10","2020-03-26","10% fat + fiber","2020-01-23","female","H-640-18","C57BL/6J","None","JMUS735be998e3d49bb922cc3edb89b21d6c","WT","2011"
"JMUS2685","aspen","2019-12-10","2020-04-25","10% fat + fiber","2020-01-23","female","H-640-18","C57BL/6J","None","JMUSc4ffd32a404f23004940ca55e0f214fd","WT","2012"
"JMUS2686","aspen","12/10/2019","1/23/2020","10% fat + fiber","4/25/2020","female","","C57BL/6J","None","JMUS26862329b8d07871a66038db716467ea9d03","WT",""
"JMUS2687","aspen","2019-12-10","2020-03-24","44% fat + fiber","2020-01-23","male","H-641-18","C57BL/6J","None","JMUS2e571036794ea65c4cc1ef4eb77d32a6","WT","2014"
"JMUS2688","aspen","2019-12-10","2020-04-25","44% fat + fiber","2020-01-23","male","H-641-18","C57BL/6J","None","JMUS8b39be538df03eafb789bbacf47fccee","WT","2015"
"JMUS2689","aspen","2019-12-10","2020-03-26","10% fat + fiber","2020-01-23","male","H-641-18","C57BL/6J","None","JMUS51f200a393666942402f016bcf882238","WT","2016"
"JMUS2690","aspen","2019-12-10","2020-04-25","10% fat + fiber","2020-01-23","male","H-641-18","C57BL/6J","None","JMUS02b1b8bc458d2659656e65a0174f0ae9","WT","2017"
"JMUS2691","aspen","2019-12-04","2020-03-24","44% fat + fiber","2020-01-23","female","H-648-18","CAST/EiJ","None","JMUS357734b5ec27b77d024bf441c5a47c88","WT","2037"
"JMUS2692","aspen","2019-12-04","2020-03-24","44% fat + fiber","2020-01-23","female","H-648-18","CAST/EiJ","None","JMUS5967caae2b2f9a387355239088925e5a","WT","2038"
"JMUS2693","aspen","2019-12-04","2020-03-24","44% fat + fiber","2020-01-23","female","H-648-18","CAST/EiJ","None","JMUSde04ff6e1037a1f576d64deb23e61d98","WT","2039"
"JMUS2694","aspen","2019-12-04","2020-06-04","44% fat + fiber","2020-01-23","female","H-648-18","CAST/EiJ","None","JMUS58aee858b201a7fc0e5135d34572b35d","WT","2040"
"JMUS2695","aspen","2019-12-10","2020-06-04","44% fat + fiber","2020-01-23","male","H-649-18","CAST/EiJ","None","JMUS63f4e9df7c6bbd779f853a80bf522805","WT","2041"
"JMUS2696","aspen","2019-12-10","2020-03-16","44% fat + fiber","2020-01-23","male","H-649-18","CAST/EiJ","None","JMUS0f083c9344cb748d5166b972d0e4bd17","WT","2042"
"JMUS2697","alpha-dri","2019-12-09","2020-03-24","10% fat + fiber","2020-01-23","male","H-652-18","NZO/HlLtJ","None","JMUSfb9b2c895d24b88f3949941d7a23c7fa","WT","2051"
"JMUS2698","alpha-dri","2019-12-09","2020-03-24","10% fat + fiber","2020-01-23","male","H-652-18","NZO/HlLtJ","None","JMUS096a5465e7d99e6454e3a710a05d0435","WT","2052"
"JMUS2699","alpha-dri","2019-12-09","2020-06-05","10% fat + fiber","2020-01-23","male","H-652-18","NZO/HlLtJ","None","JMUS5ecdaa8d64ff57d2d48c548c44f3aabe","WT","2053"
"JMUS2700","aspen","2020-01-03","2020-04-03","10% fat + fiber","2020-02-14","female","H-839-18","CAST/EiJ","None","JMUS48701834f7453619df0f871d4855461f","WT","2518"
"JMUS2701","aspen","2020-01-03","2020-03-05","10% fat + fiber","2020-02-14","female","H-839-18","CAST/EiJ","None","JMUS94fa3091b8f17287460a6633dd9c3b90","WT","2519"
"JMUS2702","aspen","2020-01-03","2020-03-03","10% fat + fiber","2020-02-14","female","H-839-18","CAST/EiJ","None","JMUS7738ff84ad4e7bb565b3ade6299e0fb0","WT","2520"
"JMUS2703","aspen","2020-01-03","2020-04-25","10% fat + fiber","2020-02-14","female","H-839-18","CAST/EiJ","None","JMUSd51427bcf47389ed891d16e3bde6f9fd","WT","2521"
"JMUS2704","aspen","2020-01-03","2020-03-03","10% fat + fiber","2020-02-14","female","H-839-18","CAST/EiJ","None","JMUS05f4a61cbe5ca2df5537a64ad9885b5e","WT","2522"
"JMUS2705","aspen","2019-12-24","2020-04-03","44% fat + fiber","2020-02-07","female","H-941-18","CAST/EiJ","None","JMUS25e4f6ad97ccbbb0a5711a3e39114021","WT","2783"
"JMUS2706","aspen","2019-12-24","2020-04-03","44% fat + fiber","2020-02-07","female","H-941-18","CAST/EiJ","None","JMUSb2faa4c16d2c73193d29f31faeced75c","WT","2784"
"JMUS3044","aspen","2020-03-24","2020-07-09","10% fat + fiber","2020-05-06","female","H-1574-18","C57BL/6J","None","JMUS9335210cf51fb2be999b01409e696605","WT","3693"
"JMUS3045","aspen","2020-03-24","2020-05-27","10% fat + fiber","2020-05-06","female","H-1340-18","C57BL/6J","None","JMUSec639059d2aa8607c65ea44e2d202301","WT","3694"
"JMUS3046","aspen","2020-03-24","2020-05-27","10% fat + fiber","2020-05-06","female","H-1340-18","C57BL/6J","None","JMUSc997ab5b493b4975dff11fab0e039fae","WT","3695"
"JMUS3047","aspen","2020-03-24","2020-07-06","44% fat + fiber","2020-05-06","female","H-1575-18","C57BL/6J","None","JMUS5e1727248778619f3a9922546cff08b1","WT","3698"
"JMUS3048","aspen","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","female","H-1341-18","C57BL/6J","None","JMUSd7853e25688b50617fd4c367d05646f2","WT",""
"JMUS3049","aspen","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","female","H-1341-18","C57BL/6J","None","JMUS04b5f52c15eb11c1a3af0333eef0ac7b","WT",""
"JMUS3050","aspen","2020-03-24","2020-07-06","10% fat + fiber","2020-05-06","male","H-1576-18","C57BL/6J","None","JMUScdbb8683835f8b1658beccc758d00fe9","WT","3713"
"JMUS3051","aspen","2020-03-24","2020-06-05","10% fat + fiber","2020-05-06","male","H-1344-18","C57BL/6J","None","JMUS26d44100e9836cc86d49bf3acb5767a5","WT","3714"
"JMUS3052","aspen","2020-03-24","2020-07-08","44% fat + fiber","2020-05-06","male","H-1577-18","C57BL/6J","None","JMUSb77a77277e2b4a2ec0334a12a900640e","WT","3718"
"JMUS3053","aspen","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","male","H-1345-18","C57BL/6J","None","JMUSbb6eb76996070e63b4b548f8353d7c58","WT",""
"JMUS3054","aspen","2020-03-24","2020-07-06","10% fat + fiber","2020-05-06","female","H-1578-18","CAST/EiJ","None","JMUS3f2a52bff00e0a24de725b7f4ddaecae","WT","3733"
"JMUS3055","aspen","2020-03-24","2020-05-27","10% fat + fiber","2020-05-06","female","H-1348-18","CAST/EiJ","None","JMUS98052c6621649a8403cdcb39700626dc","WT","3734"
"JMUS3056","aspen","2020-03-24","2020-07-06","44% fat + fiber","2020-05-06","female","H-1579-18","CAST/EiJ","None","JMUS30c6aaad8d4339d40e80e9516978ea85","WT","3738"
"JMUS3057","aspen","2020-03-24","2020-06-23","44% fat + fiber","2020-05-06","female","H-1350-18","CAST/EiJ","None","JMUS7b06eeec13b5c0b6cfdb1726d1e49937","WT","3739"
"JMUS3058","aspen","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","female","H-1350-18","CAST/EiJ","None","JMUSff886897b1283d159223a5e4f1b7e898","WT",""
"JMUS3059","aspen","2020-03-24","2020-07-09","10% fat + fiber","2020-05-06","male","H-1580-18","CAST/EiJ","None","JMUSf7639d4e0b612271c3bdc02f0ca1f8b6","WT","3753"
"JMUS3060","aspen","2020-03-24","2020-05-27","10% fat + fiber","2020-05-06","male","H-1356-18","CAST/EiJ","None","JMUS2c64e0cee3d257f57b0f63ca6c6f4737","WT","3754"
"JMUS3061","aspen","2020-03-24","2020-07-08","44% fat + fiber","2020-05-06","male","H-1581-18","CAST/EiJ","None","JMUS91de2fef57296514ddf7a428bfb9896f","WT","3758"
"JMUS3062","aspen","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","male","H-1358-18","CAST/EiJ","None","JMUSe776d5d2578109783c93aa590b3494d0","WT",""
"JMUS3063","alpha-dri","3/24/2020","7/9/2020","10% fat + fiber","5/6/2020","female","H-1582-18","NZO/HlLtJ","","JMUS3063efd811a8b6143b0e0ebe3115ed3a77b5","WT",""
"JMUS3064","alpha-dri","3/24/2020","7/8/2020","10% fat + fiber","5/6/2020","female","H-1585-18","NZO/HlLtJ","","JMUS3064e6be6ef767d5c8333c66fa72cae17176","WT",""
"JMUS3065","alpha-dri","3/24/2020","7/9/2020","44% fat + fiber","5/6/2020","female","H-1584-18","NZO/HlLtJ","","JMUS30655fad415a4c5b629fcfd7e6e7cb0f5afe","WT",""
"JMUS3066","alpha-dri","3/24/2020","7/8/2020","44% fat + fiber","5/6/2020","female","H-1583-18","NZO/HlLtJ","","JMUS3066474f5be8740342b89091e0d466258137","WT",""
"JMUS3067","alpha-dri","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","female","H-1365-18","NZO/HlLtJ","None","JMUS7a6e3d76d6e4ed2395cd7c57e1dd9ad8","WT",""
"JMUS3068","alpha-dri","3/24/2020","7/6/2020","10% fat + fiber","5/6/2020","male","H-1586-18","NZO/HlLtJ","","JMUS3068a846b6fedad642e339b10bc583beb6f9","WT",""
"JMUS3069","alpha-dri","3/24/2020","7/6/2020","10% fat + fiber","5/6/2020","male","H-1587-18","NZO/HlLtJ","","JMUS3069e9d2dbada4c1d6fe99d446371f1ef5d9","WT",""
"JMUS3070","alpha-dri","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","male","H-1588-18","NZO/HlLtJ","","JMUS3070672c5e11191ba606dcdce28e6e461dca","WT",""
"JMUS3071","alpha-dri","3/24/2020","7/6/2020","44% fat + fiber","5/6/2020","male","H-1589-18","NZO/HlLtJ","","JMUS30714aff9d0d95ad71a8e6f32968a0f1502d","WT",""
"JMUS3099","aspen","3/31/2020","7/13/2020","44% fat + fiber","4/13/2020","female","H-1399-18","CAST/EiJ","","JMUS3099781b9e6c618c6bc73894093d9e0345c1","WT",""
